-2,801024, 0,7705481, 22,66705
-3,056, 3,253521, 22,62383
-3,285945, 5,652964, 22,47221
-2,993899, 7,349398, 22,20496
-4,462823, 5,173051, 22,23612
-4,853496, 7,171907, 21,03111
-3,709198, 9,062078, 21,62357
-3,287101, 9,675072, 21,95886
-1,510351, 5,940481, 22,94532
-1,098815, 7,572408, 22,15615
-1,8049, 9,021579, 21,52512
-2,472676, 9,195996, 21,92543
-3,505356, 0,7481599, 22,15519
-3,949697, -3,661487, 21,7637
-4,082026, -7,28584, 22,06909
-4,163365, -8,004241, 21,12891
-2,012823, 0,7707253, 22,50386
-1,441873, -3,508069, 22,75835
-1,034697, -7,284751, 23,42126
-0,520032, -7,917364, 23,11661
-3,23242, 5,065203, 22,53076
-3,378001, 10,47837, 22,15138
-2,745496, 9,226767, 21,7468
-2,732619, 9,364482, 21,88916
-2,662817, 9,058034, 21,67429
*
-2,890224, 0,5795796, 22,91389
-3,081467, 3,094707, 22,92397
-3,252753, 5,518898, 22,82461
-3,337938, 7,200134, 22,56779
-4,661853, 5,126925, 22,5963
-5,545647, 6,986244, 21,67294
-4,680866, 9,155476, 21,39936
-4,532629, 9,992137, 21,44987
-1,784957, 5,522711, 23,19719
-0,8423365, 7,28758, 22,53325
-1,771042, 9,314264, 21,74311
-2,104206, 10,03357, 21,60648
-3,580738, 0,5689948, 22,42414
-3,74211, -3,437873, 22,34371
-3,387066, -7,042624, 22,8409
-3,18935, -7,834085, 22,11397
-2,116056, 0,5704683, 22,72772
-1,322097, -3,496323, 22,71017
-0,9743195, -7,332883, 23,45556
-0,8004147, -7,600116, 22,30716
-3,213196, 4,925015, 22,86967
-4,3736, 10,62144, 21,49595
-4,151151, 10,0412, 21,13611
-2,587308, 10,71374, 21,61914
-2,338211, 9,896317, 21,27485
*
-2,385154, 0,3123119, 23,11637
-2,496461, 2,956751, 23,14806
-2,58826, 5,519617, 23,06837
-2,735319, 7,309875, 22,80335
-4,169996, 5,178088, 22,94106
-6,388503, 5,243701, 22,66403
-6,981986, 6,923738, 22,05717
-6,895957, 7,886037, 21,79639
-0,9945821, 5,270977, 23,3196
1,299627, 5,927875, 23,18542
1,948087, 8,09684, 22,4394
1,98168, 8,844387, 22,1344
-3,070396, 0,2970057, 22,68703
-3,372635, -3,788599, 22,70245
-3,306555, -7,125326, 22,92287
-3,195363, -7,841306, 22,1112
-1,629451, 0,3184513, 22,86981
-1,065897, -3,694989, 22,99863
-1,158069, -7,365274, 23,69218
-0,8556229, -7,993466, 23,22077
-2,568192, 4,890582, 23,10873
-6,768879, 8,377698, 21,71433
-6,388618, 7,925109, 21,73526
2,024442, 9,488972, 22,00942
1,484924, 8,837232, 21,925
*
-2,084811, 0,1340704, 23,11738
-2,058353, 3,074901, 23,07277
-2,035364, 5,92711, 22,91596
-2,058917, 7,384613, 22,50123
-3,705298, 4,981604, 22,90019
-5,438466, 3,332709, 22,86555
-6,694561, 4,528451, 21,98381
-7,320084, 5,140686, 21,62865
-0,4765707, 5,006108, 23,13931
1,357236, 3,620918, 23,36839
2,69769, 4,867671, 22,78159
2,968503, 5,455396, 22,54434
-2,7824, 0,155941, 22,71689
-3,064922, -3,873799, 22,44188
-3,212138, -7,167291, 22,76941
-3,166717, -7,846422, 22,02204
-1,326219, 0,1077066, 22,83933
-1,237026, -4,048075, 23,41543
-1,30186, -7,411823, 23,77971
-0,9346812, -8,022612, 23,29493
-2,041662, 5,226815, 22,97505
-7,968144, 5,525841, 21,73015
-7,311168, 4,778721, 21,34809
3,128918, 5,918233, 22,4726
2,611748, 5,83657, 22,64572
*
-2,659928, 0,00703781, 23,28902
-2,517179, 2,955177, 22,93567
-2,289444, 5,791225, 22,4451
-2,110826, 7,208362, 22,03933
-3,880719, 4,922238, 22,16997
-5,84143, 3,589488, 22,28843
-7,035451, 2,628107, 20,86896
-7,661308, 2,164939, 20,16093
